Season,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1986-87,25,SF,77,1,15.0,2.8,5.1,.545,0.0,0.0,.000,2.8,5.1,.546,.545,1.0,1.6,.587,2.1,2.2,4.3,0.7,0.5,0.6,1.2,2.2,6.5
1987-88,26,SF,82,32,26.2,4.9,8.6,.561,0.1,0.2,.294,4.8,8.4,.568,.565,1.9,3.5,.535,3.9,4.8,8.7,1.3,0.9,0.5,1.9,3.3,11.6
1988-89,27,SF,82,8,26.9,3.9,6.5,.595,0.1,0.3,.231,3.8,6.2,.614,.601,1.2,1.9,.626,4.0,5.4,9.4,1.2,0.7,0.9,1.5,3.6,9.0
1989-90,28,SF,82,43,29.0,3.5,6.0,.581,0.0,0.1,.111,3.5,5.9,.589,.582,1.7,2.6,.654,4.1,5.6,9.7,0.9,0.6,0.7,1.1,3.4,8.8
1990-91,29,SF,82,77,33.5,3.4,6.8,.493,0.1,0.4,.200,3.3,6.5,.509,.498,1.4,2.1,.631,4.4,8.1,12.5,1.0,0.8,0.7,1.1,3.4,8.2
1991-92,30,PF,82,80,40.3,4.2,7.7,.539,0.4,1.2,.317,3.8,6.5,.581,.564,1.0,1.7,.600,6.4,12.3,18.7,2.3,0.8,0.9,1.7,3.0,9.8
1992-93,31,PF,62,55,38.9,3.0,6.9,.427,0.2,1.2,.205,2.7,5.7,.472,.444,1.4,2.6,.534,5.9,12.3,18.3,1.6,0.8,0.7,1.7,3.2,7.5
1993-94,32,PF,79,51,37.8,2.0,3.7,.534,0.1,0.3,.208,1.9,3.4,.563,.543,0.7,1.3,.520,5.7,11.6,17.3,2.3,0.7,0.4,1.7,2.9,4.7
1994-95,33,PF,49,26,32.0,2.8,4.9,.571,0.0,0.0,.000,2.8,4.9,.576,.571,1.5,2.3,.676,5.6,11.2,16.8,2.0,0.6,0.5,2.0,3.2,7.1
1995-96,34,PF,64,57,32.6,2.3,4.8,.480,0.0,0.4,.111,2.2,4.3,.516,.485,0.9,1.7,.528,5.6,9.3,14.9,2.5,0.6,0.4,2.2,3.1,5.5
1996-97,35,PF,55,54,35.4,2.3,5.2,.448,0.1,0.3,.263,2.2,4.9,.461,.456,0.9,1.6,.568,5.8,10.2,16.1,3.1,0.6,0.3,2.0,3.1,5.7
1997-98,36,PF,80,66,35.7,1.9,4.5,.431,0.1,0.3,.174,1.9,4.2,.448,.436,0.8,1.4,.550,5.3,9.8,15.0,2.9,0.6,0.2,1.8,3.0,4.7
1998-99,37,PF,23,11,28.6,0.7,2.0,.348,0.0,0.1,.000,0.7,1.9,.364,.348,0.7,1.7,.436,2.7,8.5,11.2,1.3,0.4,0.5,1.3,3.1,2.1
1999-00,38,PF,12,12,32.4,1.0,2.6,.387,0.0,0.1,.000,1.0,2.5,.400,.387,0.8,1.2,.714,4.0,10.3,14.3,1.2,0.2,0.1,1.6,3.4,2.8
