Season,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1989-90,22,SF,77,60,30.0,6.1,13.9,.439,0.2,0.9,.246,5.9,13.0,.452,.447,1.2,1.6,.734,1.3,3.3,4.6,1.8,0.9,0.4,1.5,2.6,13.6
1990-91,23,SF,77,77,34.4,7.1,15.5,.461,0.9,2.4,.386,6.2,13.1,.475,.491,2.2,2.7,.818,1.1,3.8,4.9,2.5,1.3,0.3,2.2,2.8,17.4
1991-92,24,SF,79,79,38.1,8.5,18.1,.469,2.0,5.0,.391,6.5,13.1,.499,.523,3.4,4.0,.836,1.1,3.9,5.0,2.3,1.1,0.4,1.8,2.2,22.3
1992-93,25,SF,82,82,37.6,7.1,16.1,.440,1.8,4.7,.383,5.3,11.4,.463,.495,3.0,3.6,.820,1.1,4.0,5.2,2.2,1.1,0.3,1.9,2.5,19.0
1993-94,26,SF,81,81,37.0,8.2,17.5,.467,1.6,4.3,.382,6.6,13.3,.494,.513,3.1,3.5,.880,0.9,4.4,5.4,2.3,1.4,0.4,1.6,2.3,21.1
1994-95,27,SF,82,82,36.8,8.1,17.1,.475,2.3,5.5,.410,5.9,11.6,.506,.541,3.8,4.5,.855,1.2,3.4,4.6,2.3,1.4,0.2,1.9,2.5,22.3
1995-96,28,SF,79,79,39.8,7.7,16.4,.471,2.2,5.1,.424,5.6,11.3,.492,.537,4.0,4.8,.837,1.1,3.7,4.8,2.9,1.2,0.2,2.1,2.7,21.6
1996-97,29,SF,79,78,42.6,9.1,19.2,.477,2.6,5.6,.470,6.5,13.6,.480,.546,5.9,6.8,.867,0.8,3.2,4.0,2.0,0.9,0.3,2.2,2.4,26.8
1997-98,30,SF,82,82,40.2,7.7,16.9,.457,1.6,3.7,.433,6.1,13.2,.464,.504,5.2,6.1,.849,1.1,3.2,4.3,2.2,0.9,0.3,2.2,2.4,22.3
1998-99,31,SF,27,25,36.5,6.3,14.7,.432,2.0,5.0,.393,4.4,9.7,.452,.499,2.9,3.3,.856,0.3,3.3,3.7,2.6,0.6,0.2,1.7,2.5,17.5
1999-00,32,SF,80,80,31.6,5.3,12.3,.430,1.1,2.9,.367,4.2,9.4,.449,.472,4.3,5.0,.874,0.7,3.4,4.1,2.2,0.6,0.2,1.4,2.2,15.9
2000-01,33,SF,75,25,29.5,4.4,10.0,.440,1.1,2.8,.389,3.3,7.2,.460,.495,2.1,2.4,.852,0.8,3.3,4.1,1.2,0.5,0.2,1.3,2.4,12.0
2001-02,34,SF,20,20,30.3,3.3,8.4,.389,0.9,3.2,.281,2.4,5.2,.456,.443,1.2,1.5,.800,0.3,2.1,2.4,1.6,0.6,0.2,1.2,1.7,8.6
2002-03,35,SF,62,26,24.7,3.2,7.4,.429,1.6,4.1,.398,1.5,3.3,.468,.539,1.0,1.3,.759,0.5,2.0,2.5,1.0,0.4,0.1,0.9,1.6,9.0
2003-04,36,SF,18,0,14.6,1.2,4.2,.289,0.3,1.6,.179,0.9,2.7,.354,.322,0.9,0.9,1.000,0.5,1.8,2.3,1.3,0.3,0.0,0.7,1.2,3.7
