Season,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1960-61,22,SG,79,,35.4,6.7,16.0,.419,,,,,,,,4.2,6.3,.666,,,7.7,4.2,,,,2.7,17.6
1961-62,23,PG,75,,41.2,10.7,23.9,.445,,,,,,,,9.5,12.3,.769,,,7.9,5.4,,,,2.3,30.8
1962-63,24,PG,55,,39.3,10.2,22.1,.461,,,,,,,,6.7,8.7,.778,,,7.0,5.6,,,,2.7,27.1
1963-64,25,PG,72,,40.4,10.3,21.2,.484,,,,,,,,8.1,9.8,.832,,,6.0,5.6,,,,2.8,28.7
1964-65,26,PG,74,,41.4,11.1,22.4,.497,,,,,,,,8.8,10.7,.821,,,6.0,4.9,,,,3.0,31.0
1965-66,27,SG,79,,40.7,10.4,21.9,.473,,,,,,,,10.6,12.4,.860,,,7.1,6.1,,,,3.1,31.3
1966-67,28,PG,66,,40.5,9.8,21.0,.464,,,,,,,,9.1,10.4,.878,,,5.9,6.8,,,,2.4,28.7
1967-68,29,SG,51,,37.6,9.3,18.2,.514,,,,,,,,7.7,9.5,.811,,,5.8,6.1,,,,3.0,26.3
1968-69,30,SG,61,,39.2,8.9,19.0,.471,,,,,,,,8.0,9.8,.821,,,4.3,6.9,,,,2.6,25.9
1969-70,31,PG,74,,42.0,11.2,22.6,.497,,,,,,,,8.7,10.6,.824,,,4.6,7.5,,,,2.2,31.2
1970-71,32,PG,69,,41.2,9.7,19.6,.494,,,,,,,,7.6,9.1,.832,,,4.6,9.5,,,,2.6,26.9
1971-72,33,PG,77,,38.6,9.5,20.0,.477,,,,,,,,6.7,8.2,.814,,,4.2,9.7,,,,2.7,25.8
1972-73,34,PG,69,,35.7,9.0,18.7,.479,,,,,,,,4.9,6.1,.805,,,4.2,8.8,,,,2.0,22.8
1973-74,35,PG,31,,31.2,7.5,16.7,.447,,,,,,,,5.3,6.4,.833,1.0,2.8,3.7,6.6,2.6,0.7,,2.6,20.3
