Season,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,20,PG,10,0,17.5,1.4,3.8,.368,0.3,0.8,.375,1.1,3.0,.367,.408,2.5,2.8,.893,1.2,1.9,3.1,3.2,1.4,0.1,1.2,2.0,5.6
2007-08,21,PG,82,9,25.5,3.1,7.2,.432,0.4,1.7,.257,2.7,5.5,.487,.463,3.0,4.2,.698,0.5,2.5,3.0,3.6,1.1,0.3,1.5,2.3,9.6
2008-09,22,PG,77,21,21.8,2.5,5.6,.435,0.3,1.3,.255,2.1,4.4,.488,.464,2.4,2.9,.801,0.3,2.1,2.5,3.6,0.9,0.2,1.5,1.9,7.6
2008-09,22,PG,49,21,21.9,2.3,5.6,.412,0.3,1.4,.246,1.9,4.1,.468,.443,2.6,3.3,.801,0.3,2.0,2.3,3.6,1.0,0.2,1.6,1.8,7.6
2008-09,22,PG,28,0,21.7,2.8,5.8,.475,0.3,1.0,.276,2.5,4.8,.519,.500,1.9,2.3,.800,0.5,2.3,2.8,3.5,0.8,0.3,1.4,2.0,7.6
2009-10,23,PG,68,0,24.3,2.7,6.8,.397,0.5,2.0,.272,2.2,4.8,.448,.436,3.2,3.8,.827,1.3,2.3,3.6,4.5,0.9,0.1,1.7,2.5,9.1
2010-11,24,PG,75,71,34.2,4.6,10.8,.426,1.7,4.6,.376,2.9,6.2,.464,.506,2.6,3.3,.765,1.2,2.9,4.1,6.7,1.4,0.3,2.1,2.8,13.5
2011-12,25,PG,47,38,32.1,4.5,10.9,.409,1.7,4.5,.374,2.8,6.4,.434,.486,3.6,4.2,.864,0.8,3.7,4.5,6.6,1.6,0.3,2.8,2.8,14.3
2012-13,26,PG,68,52,29.7,3.7,9.2,.401,1.5,4.1,.362,2.2,5.1,.433,.482,2.8,3.5,.795,0.8,3.9,4.7,6.4,1.4,0.4,2.3,3.2,11.6
2013-14,27,PG,79,79,36.2,5.8,13.7,.423,2.4,6.3,.380,3.4,7.3,.460,.511,4.0,4.9,.813,1.1,3.6,4.7,7.4,1.5,0.2,2.5,3.4,17.9
2014-15,28,PG,70,70,34.5,6.1,14.9,.412,1.9,5.6,.338,4.3,9.3,.457,.476,3.6,4.5,.808,0.8,3.9,4.7,6.8,1.6,0.2,2.5,3.0,17.8
2015-16,29,PG,77,77,37.0,6.6,15.6,.427,2.8,7.1,.388,3.9,8.5,.461,.516,5.2,6.4,.811,0.7,4.0,4.7,6.4,2.1,0.4,2.9,2.7,21.2
2016-17,30,PG,60,60,37.4,7.1,15.3,.464,3.2,7.8,.412,3.9,7.5,.518,.569,5.0,6.1,.819,0.8,4.0,4.8,7.0,1.5,0.3,2.9,2.8,22.4
2017-18,31,PG,78,78,32.2,5.2,12.1,.427,3.1,7.6,.399,2.1,4.5,.474,.553,2.9,3.3,.854,0.8,4.7,5.6,6.9,1.1,0.2,2.3,2.5,16.2
2018-19,32,PG,65,65,34.0,4.7,11.4,.411,2.4,7.0,.347,2.3,4.4,.514,.518,2.5,3.0,.830,0.6,4.2,4.8,8.7,1.4,0.5,2.8,2.6,14.2
2019-20,33,PG,58,58,36.2,5.8,13.8,.416,2.8,8.0,.352,2.9,5.8,.504,.518,5.1,5.9,.857,0.6,4.5,5.0,7.5,1.4,0.4,3.1,3.3,19.4
2020-21,34,PG,46,46,34.8,5.7,13.0,.436,2.8,7.2,.396,2.8,5.8,.487,.546,3.0,3.5,.875,0.8,4.6,5.4,7.3,1.0,0.3,2.7,3.1,17.2
2021-22,35,PG,63,63,33.9,4.4,10.0,.440,2.3,6.1,.377,2.1,3.9,.539,.555,2.3,2.8,.851,0.5,4.0,4.5,7.5,1.1,0.3,2.7,2.8,13.4
2022-23,36,PG,55,44,31.2,3.6,8.8,.404,1.9,5.6,.345,1.6,3.2,.509,.514,2.1,2.5,.859,0.8,3.3,4.1,5.1,1.0,0.4,1.9,2.6,11.2
2023-24,37,PG,60,55,28.2,2.7,6.3,.432,1.6,4.2,.392,1.1,2.1,.512,.562,1.1,1.3,.840,0.6,2.7,3.2,4.2,1.0,0.4,1.4,2.4,8.1
2023-24,37,PG,37,35,28.0,2.8,6.5,.426,1.7,4.4,.385,1.1,2.2,.506,.554,0.9,1.1,.833,0.7,2.8,3.5,4.0,1.1,0.4,1.4,2.5,8.2
2023-24,37,PG,23,20,28.4,2.6,5.9,.444,1.6,3.9,.404,1.0,2.0,.522,.578,1.2,1.4,.848,0.4,2.4,2.8,4.6,0.9,0.3,1.4,2.3,8.0
2024-25,38,PG,35,12,18.8,1.2,3.3,.350,0.8,2.5,.330,0.3,0.8,.414,.474,0.8,0.9,.818,0.3,1.6,1.9,2.7,0.9,0.3,0.6,1.8,3.9
