Season,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1974-75,19,C,83,,38.6,7.1,12.5,.571,0.0,0.0,.000,7.1,12.5,.572,.571,4.5,7.1,.635,5.5,9.1,14.6,1.0,1.0,1.5,3.9,3.5,18.8
1975-76,20,PF,43,,27.2,5.8,11.4,.512,0.0,0.0,.000,5.8,11.3,.514,.512,2.6,4.3,.612,4.6,5.0,9.6,1.3,0.6,0.7,3.3,2.6,14.3
1976-77,21,C,82,,30.6,4.7,9.9,.480,,,,0.0,0.0,.480,.480,3.7,5.4,.693,5.3,7.7,13.1,1.1,0.8,2.2,,3.4,13.2
1976-77,21,C,2,,3.0,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,,0.5,0.0
1976-77,21,C,80,,31.3,4.9,10.1,.480,,,,0.0,0.0,.480,.480,3.8,5.5,.693,5.5,7.9,13.4,1.1,0.8,2.3,,3.4,13.5
1977-78,22,C,59,,35.7,7.0,14.0,.499,,,,0.0,0.0,.499,.499,5.4,7.5,.718,6.4,8.6,15.0,0.5,0.8,1.3,3.7,3.0,19.4
1978-79,23,C,82,82,41.3,8.7,16.2,.540,,,,0.0,0.0,.540,.540,7.3,9.9,.739,7.2,10.5,17.6,1.8,1.0,1.5,4.0,2.7,24.8
1979-80,24,C,82,82,38.3,9.5,18.9,.502,0.0,0.1,.000,9.5,18.8,.504,.502,6.9,9.5,.719,7.0,7.5,14.5,1.8,1.0,1.3,3.7,2.6,25.8
1980-81,25,C,80,,40.6,10.1,19.3,.522,0.0,0.0,.333,10.1,19.3,.522,.522,7.6,10.1,.757,5.9,8.8,14.8,1.8,1.0,1.9,3.9,2.8,27.8
1981-82,26,C,81,81,42.0,11.7,22.5,.519,0.0,0.1,.000,11.7,22.4,.520,.519,7.8,10.2,.762,6.9,7.8,14.7,1.8,0.9,1.5,3.6,2.6,31.1
1982-83,27,C,78,78,37.5,8.4,16.7,.501,0.0,0.0,.000,8.4,16.7,.502,.501,7.7,10.1,.761,5.7,9.6,15.3,1.3,1.1,2.0,3.4,2.6,24.5
1983-84,28,C,71,71,36.8,7.5,15.5,.483,0.0,0.1,.000,7.5,15.5,.485,.483,7.7,10.2,.750,5.0,8.4,13.4,1.4,1.0,1.5,3.5,2.6,22.7
1984-85,29,C,79,79,37.4,7.6,16.3,.469,0.0,0.0,.000,7.6,16.2,.470,.469,9.3,11.4,.815,4.9,8.2,13.1,1.6,0.8,1.6,3.6,2.7,24.6
1985-86,30,C,74,74,36.6,7.7,16.8,.458,0.0,0.0,.000,7.7,16.8,.459,.458,8.3,10.6,.787,4.6,7.2,11.8,1.2,0.9,1.0,3.5,2.6,23.8
1986-87,31,C,73,70,34.1,8.2,18.0,.454,0.0,0.2,.000,8.2,17.8,.458,.454,7.8,9.5,.824,4.7,6.6,11.3,1.6,0.8,1.3,2.8,1.9,24.1
1987-88,32,C,79,78,34.1,6.7,13.8,.487,0.0,0.1,.286,6.7,13.7,.488,.488,6.9,8.7,.788,4.7,6.5,11.2,1.4,0.7,0.9,3.2,2.0,20.3
1988-89,33,C,81,80,35.5,6.6,13.5,.491,0.0,0.1,.000,6.6,13.4,.496,.491,6.9,8.8,.789,4.8,7.0,11.8,1.4,1.0,1.2,3.0,1.9,20.2
1989-90,34,C,81,81,33.8,6.4,13.3,.480,0.0,0.1,.111,6.4,13.2,.483,.481,6.1,7.8,.781,4.5,5.5,10.0,1.6,0.6,1.0,2.9,2.0,18.9
1990-91,35,C,82,15,23.3,3.4,7.3,.468,0.0,0.1,.000,3.4,7.2,.474,.468,3.8,4.5,.831,3.3,4.8,8.1,0.8,0.4,0.9,1.7,1.6,10.6
1991-92,36,C,82,77,30.6,5.4,11.3,.474,0.0,0.1,.375,5.3,11.2,.474,.475,4.8,6.1,.786,3.9,5.2,9.1,1.1,0.9,0.8,1.8,1.7,15.6
1992-93,37,C,11,0,9.5,1.2,3.8,.310,0.0,0.0,,1.2,3.8,.310,.310,2.2,2.8,.774,2.0,2.2,4.2,0.6,0.1,0.7,0.9,0.5,4.5
1993-94,38,C,55,0,11.2,1.9,4.2,.440,0.0,0.0,.000,1.9,4.2,.442,.440,1.6,2.1,.769,1.9,2.2,4.1,0.6,0.2,0.3,1.1,0.9,5.3
1994-95,39,C,17,0,8.8,0.8,2.1,.371,0.1,0.1,.500,0.7,1.9,.364,.386,1.3,1.9,.688,1.2,1.5,2.7,0.4,0.1,0.2,0.6,0.9,2.9
