Season,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1989-90,20,PF,81,1,13.8,2.5,5.2,.479,0.0,0.1,.167,2.5,5.1,.488,.481,1.4,2.0,.736,1.8,2.5,4.3,0.3,0.6,0.9,1.3,2.5,6.5
1990-91,21,PF,81,66,30.1,5.7,11.2,.508,0.0,0.1,.167,5.7,11.1,.513,.509,3.6,5.4,.661,3.3,5.1,8.4,1.8,1.0,1.5,2.5,3.9,15.0
1991-92,22,PF,64,23,28.3,5.7,11.2,.504,0.0,0.0,.000,5.7,11.2,.506,.504,4.2,5.6,.748,4.1,6.3,10.4,1.3,1.1,1.9,2.4,4.1,15.5
1992-93,23,PF,78,68,33.1,6.6,13.4,.492,0.0,0.1,.000,6.6,13.4,.494,.492,4.6,6.4,.712,3.7,7.0,10.7,2.0,1.5,1.9,2.8,4.2,17.8
1993-94,24,PF,79,73,32.9,6.7,12.5,.538,0.0,0.1,.250,6.7,12.5,.540,.539,4.6,6.2,.741,3.9,6.8,10.8,2.6,1.8,2.1,3.3,3.9,18.1
1994-95,25,PF,82,79,32.7,6.6,12.2,.547,0.0,0.1,.286,6.6,12.1,.548,.548,5.3,7.1,.749,3.9,7.0,10.9,1.8,1.2,1.5,3.2,4.1,18.7
1995-96,26,PF,79,76,33.3,6.7,11.9,.561,0.1,0.2,.417,6.6,11.7,.563,.564,6.2,8.4,.742,3.5,7.9,11.4,2.2,1.2,1.6,4.0,3.8,19.6
1996-97,27,PF,81,75,34.0,6.5,12.7,.510,0.1,0.4,.364,6.3,12.3,.515,.516,5.6,7.5,.742,3.4,6.6,10.0,1.9,1.5,1.0,3.5,4.0,18.7
1997-98,28,PF,80,80,34.6,6.5,14.6,.445,0.0,0.1,.250,6.5,14.5,.446,.446,5.1,7.0,.727,2.7,6.6,9.3,2.5,1.4,1.1,3.4,3.9,18.0
1998-99,29,PF,42,42,35.1,6.6,13.7,.482,0.0,0.0,.500,6.6,13.6,.482,.483,7.3,9.3,.789,3.1,6.1,9.2,2.4,1.1,1.1,3.0,3.8,20.5
1999-00,30,C,82,82,30.4,5.9,14.1,.417,0.0,0.1,.333,5.9,14.1,.418,.418,6.0,7.7,.776,2.8,6.0,8.8,1.7,1.2,1.2,3.5,4.5,17.8
2000-01,31,PF,68,3,15.9,2.5,6.1,.407,0.1,0.2,.364,2.4,5.9,.408,.412,1.5,1.9,.771,0.9,2.9,3.8,1.0,0.7,0.3,1.5,2.7,6.5
2001-02,32,PF,75,5,16.4,2.3,5.4,.430,0.0,0.1,.000,2.3,5.4,.434,.430,1.4,1.7,.794,1.2,2.6,3.8,0.7,0.6,0.4,1.1,2.5,6.1
2002-03,33,C,79,55,20.7,2.7,6.4,.418,0.0,0.0,.000,2.7,6.4,.419,.418,1.5,2.0,.742,1.9,3.8,5.7,0.7,0.8,0.4,1.3,3.0,6.8
